"Study","Vaccine_Arm","Serotype","GMC","Lower_CL","Upper_CL","vaccine_group","Vaccine_Status","Cases","Total_Cases"
"NCT00366340","Immunized","1",1.83,1.64,2.04,"PCV13","at least one dose",2,196
"NCT00366340","Immunized","3",1.55,1.41,1.72,"PCV13","at least one dose",6,200
"NCT00366340","Immunized","6A",1.33,1.18,1.49,"PCV13","at least one dose",0,194
"NCT00366340","Immunized","7F",2.59,2.36,2.85,"PCV13","at least one dose",1,195
"NCT00366340","Immunized","19A",3.26,2.97,3.59,"PCV13","at least one dose",14,208
"NCT00366340","Unimmunized","1",0.03,0.02,0.03,"PCV7","PCV7 comparator",5,48
"NCT00366340","Unimmunized","3",0.05,0.04,0.06,"PCV7","PCV7 comparator",5,48
"NCT00366340","Unimmunized","6A",0.23,0.2,0.26,"PCV7","PCV7 comparator",4,47
"NCT00366340","Unimmunized","7F",0.04,0.04,0.05,"PCV7","PCV7 comparator",12,55
"NCT00366340","Unimmunized","19A",0.64,0.58,0.71,"PCV7","PCV7 comparator",17,60
"NCT00688870","Immunized","1",4.14,3.45,4.96,"PCV13","at least one dose",2,196
"NCT00688870","Immunized","3",1.2,1,1.45,"PCV13","at least one dose",6,200
"NCT00688870","Immunized","6A",4.57,3.92,5.34,"PCV13","at least one dose",0,194
"NCT00688870","Immunized","7F",3.67,3.14,4.29,"PCV13","at least one dose",1,195
"NCT00688870","Immunized","19A",3.69,3.2,4.24,"PCV13","at least one dose",14,208
"NCT00688870","Unimmunized","1",0.02,0.02,0.02,"PCV7","PCV7 comparator",5,48
"NCT00688870","Unimmunized","3",0.05,0.04,0.06,"PCV7","PCV7 comparator",5,48
"NCT00688870","Unimmunized","6A",0.79,0.63,0.99,"PCV7","PCV7 comparator",4,47
"NCT00688870","Unimmunized","7F",0.04,0.03,0.05,"PCV7","PCV7 comparator",12,55
"NCT00688870","Unimmunized","19A",2.46,2.13,2.84,"PCV7","PCV7 comparator",17,60
"NCT00689351","Immunized","1",7.44,6.25,8.85,"PCV13","at least one dose",2,196
"NCT00689351","Immunized","3",1.6,1.35,1.89,"PCV13","at least one dose",6,200
"NCT00689351","Immunized","6A",5.73,4.64,7.07,"PCV13","at least one dose",0,194
"NCT00689351","Immunized","7F",6.97,6.07,8,"PCV13","at least one dose",1,195
"NCT00689351","Immunized","19A",5.94,5.13,6.89,"PCV13","at least one dose",14,208
"NCT00689351","Unimmunized","1",0.02,0.02,0.03,"PCV7","PCV7 comparator",5,48
"NCT00689351","Unimmunized","3",0.04,0.03,0.05,"PCV7","PCV7 comparator",5,48
"NCT00689351","Unimmunized","6A",0.64,0.49,0.82,"PCV7","PCV7 comparator",4,47
"NCT00689351","Unimmunized","7F",0.04,0.03,0.05,"PCV7","PCV7 comparator",12,55
"NCT00689351","Unimmunized","19A",2.65,2.29,3.06,"PCV7","PCV7 comparator",17,60
