"analysis_id","predictor_label","serotype","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","4",-0.599166589158905,-0.594897046167155,-0.831780462225393,-0.390021373143362,0.551619354271282,0.435273607776916,0.677042403819164,1
"nckp_andrews","NCKP immunogenicity (US, Whitney/Kaiser)","4",-0.805992582345059,-0.789564032296167,-1.12796037939768,-0.569431295979751,0.45404270009257,0.323692794081944,0.565847146759742,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","4",-0.637591448955101,-0.574067634362228,-1.39928908769924,-0.260203515022969,0.563229760148139,0.246772335085968,0.770894681189136,0.998916666666667
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","6B",-0.381830020107022,-0.380215360131043,-0.541439917140614,-0.232416601965338,0.683714148587255,0.581909747010733,0.792615849194506,1
"nckp_andrews","NCKP immunogenicity (US, Whitney/Kaiser)","6B",-0.533552034237654,-0.532169851284016,-0.699992481710141,-0.37316237475783,0.587329169078472,0.496589037277698,0.688553420071578,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","6B",-0.59622046365989,-0.573717150025446,-0.958646272843098,-0.348967510921907,0.563427197954488,0.383411569471798,0.70541604821474,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","9V",-0.931135335164201,-0.906058678232726,-1.4199452033245,-0.592833584308808,0.404113832040245,0.241727262384485,0.552758774940399,1
"nckp_andrews","NCKP immunogenicity (US, Whitney/Kaiser)","9V",-0.737412950954326,-0.732691639944546,-0.976315604358912,-0.521872162660994,0.480613608735017,0.376696443940619,0.593408550044384,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","9V",-0.667268938024267,-0.600178591851538,-1.42652124447964,-0.302824404824797,0.548713631559457,0.240142869185828,0.73872880219574,0.999583333333333
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","14",-0.631718158014149,-0.627191188661705,-0.815573298512485,-0.472347521511522,0.534089853785165,0.442385635620905,0.623536782815494,1
"nckp_andrews","NCKP immunogenicity (US, Whitney/Kaiser)","14",-0.804213380651349,-0.799869272877712,-0.962912779719908,-0.664569116750333,0.44938770743925,0.38177922605235,0.514495167302433,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","14",-0.563981629877579,-0.549230056479461,-0.870586096184598,-0.339050620231886,0.577394200204245,0.418706075285797,0.712446383975224,1
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","18C",-0.895207460665999,-0.878783763002969,-1.2478069495746,-0.628708376079773,0.415287692909083,0.287133805798883,0.533280153767542,1
"nckp_andrews","NCKP immunogenicity (US, Whitney/Kaiser)","18C",-0.694037919012761,-0.693075081558092,-0.88517802091076,-0.50737214047688,0.500036050800524,0.412640708065405,0.602075672059887,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","18C",-0.396815475211938,-0.4101544771934,-0.666737785660302,-0.0690207412344224,0.663547739226282,0.51338060662215,0.933307321931494,0.99075
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","19F",-0.44020378183851,-0.439505968096437,-0.625550448260706,-0.259194169153,0.644354674229344,0.534966875872072,0.771673173369616,1
"nckp_andrews","NCKP immunogenicity (US, Whitney/Kaiser)","19F",-0.767284180053435,-0.760436837297208,-0.980897297065385,-0.578880094917821,0.467462177487092,0.374974484347982,0.560525750831465,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","19F",-0.49270219723588,-0.495528682857654,-0.799767378081282,-0.181252010733851,0.609248722781317,0.449433500041192,0.834225098523716,0.99775
"nckp","NCKP immunogenicity (US, Whitney/Kaiser)","23F",-0.708365004020664,-0.701031270039821,-0.985435676598678,-0.473930329204453,0.496073454218322,0.373276563641325,0.622550624654073,1
"nckp_andrews","NCKP immunogenicity (US, Whitney/Kaiser)","23F",-0.735939984347002,-0.732156419524246,-0.935824541202114,-0.555045221531948,0.480870911803473,0.39226229572667,0.574046301356312,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","23F",-0.488604749182619,-0.491481644567505,-0.781380910452853,-0.192616657612539,0.611719371723943,0.457773430521793,0.824798093614619,0.998916666666667
